Make,Manufacturer Name,Model,Model Year,Plant City,Vehicle Type,Plant Country,Plant State,Body Class,Gross Vehicle Weight Rating From,Cab Type,Trailer Type Connection,Trailer Body Type,Drive Type,Brake System Type,Engine Number of Cylinders,Displacement (CC),Displacement (CI),Displacement (L),Engine Power (kW),Fuel Type - Primary,Valve Train Design,Engine Configuration,Engine Brake (hp) From,Engine Brake (hp) To,Other Engine Info,Engine Manufacturer,Seat Belt Type,Front Air Bag Locations,NCSA Body Type,NCSA Make,NCSA Model,Bus Floor Configuration Type,Bus Type,Custom Motorcycle Type,Motorcycle Suspension Type,Motorcycle Chassis Type,
PONTIAC,GENERAL MOTORS LLC,G6,2008,ORION,PASSENGER CAR,UNITED STATES (USA),MICHIGAN,Sedan/Saloon,,Not Applicable,Not Applicable,Not Applicable,,,6,3500,213.5831043,3.5,,Gasoline,Overhead Valve (OHV),V-Shaped,,,,GM,Manual,1st Row (Driver and Passenger),"4-door sedan, hardtop",Pontiac,G6,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
GMC,GENERAL MOTORS LLC,Yukon,2013,ARLINGTON,MULTIPURPOSE PASSENGER VEHICLE (MPV),UNITED STATES (USA),TEXAS,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),"Class 2F: 7,001 - 8,000 lb (3,175 - 3,629 kg)",,Not Applicable,Not Applicable,RWD/Rear-Wheel Drive,Hydraulic,8,6200,378.3472134,6.2,,Gasoline,,,,,,,Manual,1st Row (Driver and Passenger),Large utility (ANSI D16.1 Utility Vehicle Categories and "Full Size" and "Large"),GMC,Suburban/Yukon XL (2004 on; see 431 for 1950- 2003),Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
HONDA,"AMERICAN HONDA MOTOR CO., INC.",Civic,2000,EAST LIBERTY,PASSENGER CAR,UNITED STATES (USA),OHIO,Coupe,"Class 1B: 3,001 - 4,000 lb (1,360 - 1,814 kg)",Not Applicable,Not Applicable,Not Applicable,,,4,1589.545208,97,1.589545208,79.0442,Gasoline,Single Overhead Cam (SOHC),In-Line,106,,,,Manual,1st Row (Driver and Passenger),"2-door sedan,hardtop,coupe",Honda,"Civic/CRX, del Sol",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
LEXUS,"TOYOTA MOTOR MANUFACTURING, KENTUCKY, INC.",ES,2019,,PASSENGER CAR,UNITED STATES (USA),KENTUCKY,Sedan/Saloon,,Not Applicable,Not Applicable,Not Applicable,4x2,,6,3500,213.5831043,3.5,224.4557,Gasoline,,V-Shaped,301,,PORT + DIRECT,,Manual,1st Row (Driver and Passenger),"4-door sedan, hardtop",Lexus,ES-250/300/300h/330/ 350,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
HONDA,"AMERICAN HONDA MOTOR CO., INC.",Accord,2020,MARYSVILLE,PASSENGER CAR,UNITED STATES (USA),OHIO,Sedan/Saloon,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",Not Applicable,Not Applicable,Not Applicable,4x2,,4,1500,91.53561614,1.5,,Gasoline,Dual Overhead Cam (DOHC),In-Line,,,Direct Fuel Injection,HONDA,Manual,1st Row (Driver and Passenger),"4-door sedan, hardtop",Honda,"Accord (Note: For Crosstour model years 2010 and 2011 only. For Crosstour model years 2012-2015, see vehicle model 37-405)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
HONDA,"AMERICAN HONDA MOTOR CO., INC.",Civic,2012,GREENSBURG,PASSENGER CAR,UNITED STATES (USA),INDIANA,Sedan/Saloon,"Class 1B: 3,001 - 4,000 lb (1,360 - 1,814 kg)",Not Applicable,Not Applicable,Not Applicable,,,4,1802.57704,110,1.80257704,104.398,Gasoline,Single Overhead Cam (SOHC),In-Line,140,,,,Manual,1st Row (Driver and Passenger),"4-door sedan, hardtop",Honda,"Civic/CRX, del Sol",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
RAM,FCA US LLC,1500,2016,WARREN,TRUCK ,UNITED STATES (USA),MICHIGAN,Pickup,"Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)",Extra/Super/ Quad/Double/King/Extended,Not Applicable,Not Applicable,4x2,Hydraulic,8,5700,347.8353413,5.7,,Gasoline,,,,,"Sales Code : EZC,EZH",,Manual,1st Row (Driver and Passenger),Light Pickup,Dodge,Ram Pickup,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
HYUNDAI,HYUNDAI-KIA AMERICA TECHNICAL CENTER INC (HATCI),Santa Fe,2011,,MULTIPURPOSE PASSENGER VEHICLE (MPV),UNITED STATES (USA),GEORGIA,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,Not Applicable,Not Applicable,4x2,,,2400,146.4569858,2.4,,Gasoline,Dual Overhead Cam (DOHC),,,,,,Manual,1st Row (Driver and Passenger),Compact Utility (Utility Vehicle Categories "Small" and "Midsize"),Hyundai,Santa Fe,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
GMC,GENERAL MOTORS LLC,Yukon,2015,ARLINGTON,MULTIPURPOSE PASSENGER VEHICLE (MPV),UNITED STATES (USA),TEXAS,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),"Class 2F: 7,001 - 8,000 lb (3,175 - 3,629 kg)",,Not Applicable,Not Applicable,4WD/4-Wheel Drive/4x4,Hydraulic,8,6200,378.3472134,6.2,,Gasoline,,,,,,,Manual,1st Row (Driver and Passenger),Large utility (ANSI D16.1 Utility Vehicle Categories and "Full Size" and "Large"),GMC,Fullsize Jimmy/Yukon,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
LEXUS,TOYOTA MOTOR CORPORATION,NX,2021,,MULTIPURPOSE PASSENGER VEHICLE (MPV),JAPAN,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),"Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)",,Not Applicable,Not Applicable,4x2,,4,2000,122.0474882,2,175.2395,Gasoline,,In-Line,235,,PORT+DIRECT,,Manual,1st Row (Driver and Passenger),Compact Utility (Utility Vehicle Categories "Small" and "Midsize"),Lexus,NX,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
TOYOTA,"NEW UNITED MOTOR MANUFACTURING, INC.",Corolla,2007,FREMONT,PASSENGER CAR,UNITED STATES (USA),CALIFORNIA,Sedan/Saloon,,Not Applicable,Not Applicable,Not Applicable,4x2,,4,1800,109.8427394,1.8,93.9582,Gasoline,,In-Line,126,,,,Manual,1st Row (Driver and Passenger),"4-door sedan, hardtop",Toyota,Corolla,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
INTERNATIONAL,"BLUE DIAMOND TRUCK, S. DE R. L. DE C. V.",SF625,2018,,INCOMPLETE VEHICLE,MEXICO,ESCOBEDO,Truck,"Class 8: 33,001 lb and above (14,969 kg and above)",MDHD: Conventional,Not Applicable,Not Applicable,6x4,Air,6,8800,537.008948,8.8,193.882,Diesel,,In-Line,260,450,,Cummins,,,"Single-unit straight truck or Cab-Chassis (GVWR greater than 26,000 lbs.)",International Harvester/Navistar,Medium/Heavy - CBE,,,Not Applicable,Not Applicable,Not Applicable,
FORD,"FORD MOTOR COMPANY, USA",Explorer,2013,CHICAGO,MULTIPURPOSE PASSENGER VEHICLE (MPV),UNITED STATES (USA),ILLINOIS,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),"Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)",,Not Applicable,Not Applicable,,Hydraulic,6,3500,213.5831043,3.5,216.253,Gasoline,,V-Shaped,290,,Ti-VCT,Ford,Manual,1st Row (Driver and Passenger),Compact Utility (Utility Vehicle Categories "Small" and "Midsize"),Ford,"Bronco (thru 1977)/Bronco II/Explorer/Explorer Sport (Explorer for 1990-2018 only.  For model years 2019 on, see 12-425.)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
CHEVROLET,GENERAL MOTORS LLC,Silverado,2005,FORT WAYNE,TRUCK ,UNITED STATES (USA),INDIANA,Pickup,"Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)",Extra/Super/ Quad/Double/King/Extended,Not Applicable,Not Applicable,4x2,Hydraulic,6,4300,262.4020996,4.3,,Gasoline,Overhead Valve (OHV),V-Shaped,,,90 Degrees,WRN,,,Light Pickup,Chevrolet,"C, K, R, V-series pickup/Silverado",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
NISSAN,"NISSAN NORTH AMERICA, INC.",Altima,2010,,PASSENGER CAR,UNITED STATES (USA),,Sedan/Saloon,,Not Applicable,Not Applicable,Not Applicable,4x2,,4,2500,152.5593602,2.5,126.769,Gasoline,,,170,175,,,Manual,1st Row (Driver and Passenger),"4-door sedan, hardtop",Nissan/Datsun,Altima,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
TOYOTA,"TOYOTA MOTOR MANUFACTURING, INDIANA, INC.",Sequoia,2002,,MULTIPURPOSE PASSENGER VEHICLE (MPV),UNITED STATES (USA),INDIANA,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),"Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)",,Not Applicable,Not Applicable,4x2,,8,4663,284.55,4.7,178.968,Gasoline,Dual Overhead Cam (DOHC),V-Shaped,240,284,,Toyota,,,Large utility (ANSI D16.1 Utility Vehicle Categories and "Full Size" and "Large"),Toyota,Sequoia,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
